
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
BA:16:5F:C1:6F:6F, 2025-09-15 22:56:45, 2025-09-15 22:58:08, 11,  65, WPA2, CCMP, PSK, -40,      257,        0,   0.  0.  0.  0,   0, , 
C8:5A:9F:A8:30:A0, 2025-09-15 22:56:45, 2025-09-15 22:58:05, 10, 130, WPA2, CCMP, PSK, -76,       20,        3,   0.  0.  0.  0,   6, Joseme, 
D8:E8:44:58:1B:ED, 2025-09-15 22:56:50, 2025-09-15 22:57:41,  9, 360, WPA2, CCMP, PSK, -83,        3,        0,   0.  0.  0.  0,   5, Lucan, 
3C:A7:AE:5D:19:E4, 2025-09-15 22:56:52, 2025-09-15 22:58:03, 10, 360, WPA2, CCMP, PSK, -79,        2,        0,   0.  0.  0.  0,  15, Wifi SoSpEcHoSo, 
A4:F3:3B:11:0E:B8, 2025-09-15 22:56:59, 2025-09-15 22:57:40,  3,  -1, , ,   , -83,        0,        0,   0.  0.  0.  0,   0, , 
28:77:77:C5:12:6C, 2025-09-15 22:57:04, 2025-09-15 22:57:04, 11, 130, WPA2, CCMP TKIP, PSK, -84,        1,        0,   0.  0.  0.  0,   7, CasaEli, 
3C:A7:AE:5B:7C:3E, 2025-09-15 22:57:14, 2025-09-15 22:57:14,  8, 360, WPA2, CCMP TKIP, PSK, -76,        1,        0,   0.  0.  0.  0,   5, Jessi, 
C0:51:5C:0D:63:EC, 2025-09-15 22:57:18, 2025-09-15 22:57:49,  8, 360, WPA2, CCMP, PSK, -82,        3,        0,   0.  0.  0.  0,  15, desimery 2.4GHz, 
5E:E5:65:BD:5B:D0, 2025-09-15 22:57:20, 2025-09-15 22:57:20,  1, 130, OPN, ,   , -71,        0,        0,   0.  0.  0.  0,  22, Galaxy s ultra matias , 
D8:E8:44:58:1F:29, 2025-09-15 22:57:33, 2025-09-15 22:57:53,  5, 360, WPA2, CCMP, PSK, -80,        0,        0,   0.  0.  0.  0,   5, Redaa, 
A4:F3:3B:0E:24:54, 2025-09-15 22:57:38, 2025-09-15 22:57:48,  2, 360, WPA2, CCMP, PSK, -81,        0,        1,   0.  0.  0.  0,   3, 202, 
B8:DD:71:DD:69:54, 2025-09-15 22:57:45, 2025-09-15 22:57:45,  6, 130, WPA2, CCMP, PSK, -80,        1,        0,   0.  0.  0.  0,   5, Casa1, 
C4:27:28:0D:D6:04, 2025-09-15 22:58:04, 2025-09-15 22:58:04,  5, 360, WPA2, CCMP TKIP, PSK, -78,        1,        0,   0.  0.  0.  0,   7, Melissa, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
92:E8:20:BE:C6:0A, 2025-09-15 22:56:35, 2025-09-15 22:58:08, -71,      294, 44:13:D0:9F:A8:ED,
B0:2A:43:37:B1:23, 2025-09-15 22:56:35, 2025-09-15 22:56:35, -83,        1, (not associated) ,Mauge
D0:76:02:84:45:D5, 2025-09-15 22:56:35, 2025-09-15 22:58:10, -45,      143, 44:13:D0:9F:A8:ED,
B8:16:5F:C1:6F:6F, 2025-09-15 22:56:35, 2025-09-15 22:57:49, -41,       91, (not associated) ,CARLOS-CRISTI-MIA
94:E4:BA:0E:85:46, 2025-09-15 22:56:35, 2025-09-15 22:56:36, -77,        2, FC:40:09:C3:3A:C0,
88:52:EB:F6:00:2F, 2025-09-15 22:56:37, 2025-09-15 22:58:07, -67,      732, 66:CC:60:AB:77:47,
98:CD:AC:3B:78:11, 2025-09-15 22:56:37, 2025-09-15 22:56:37, -85,        1, (not associated) ,moduletest
90:63:3B:0B:6D:2B, 2025-09-15 22:56:40, 2025-09-15 22:58:07, -69,       89, E8:81:75:AD:D1:FC,
0E:08:63:B2:37:E6, 2025-09-15 22:56:40, 2025-09-15 22:56:40, -75,        1, (not associated) ,
7C:FD:6B:8F:99:3E, 2025-09-15 22:56:42, 2025-09-15 22:57:50, -53,        9, 3C:A7:AE:5B:AA:CA,
9C:A2:F4:CC:17:32, 2025-09-15 22:56:43, 2025-09-15 22:57:43, -79,        4, (not associated) ,
F6:17:79:BA:A5:40, 2025-09-15 22:56:44, 2025-09-15 22:56:44, -75,        1, (not associated) ,
6A:63:E8:C0:27:05, 2025-09-15 22:56:46, 2025-09-15 22:56:46, -77,        2, (not associated) ,
AC:E0:10:3A:EC:DF, 2025-09-15 22:56:47, 2025-09-15 22:57:54,  -1,       17, 66:CC:60:AB:77:47,
AC:D1:B8:EA:FE:3B, 2025-09-15 22:56:52, 2025-09-15 22:56:52,  -1,       20, E8:81:75:AA:8C:54,
14:C1:4E:6C:B7:C7, 2025-09-15 22:56:59, 2025-09-15 22:57:40,  -1,        3, A4:F3:3B:11:0E:B8,
20:23:51:78:8D:8F, 2025-09-15 22:57:08, 2025-09-15 22:57:28, -75,        9, 64:6E:60:B1:7D:D4,
4C:F2:02:CE:33:DE, 2025-09-15 22:57:09, 2025-09-15 22:57:11, -67,        8, (not associated) ,
78:45:61:A2:B7:D4, 2025-09-15 22:57:12, 2025-09-15 22:57:41, -79,        3, C8:5A:9F:A8:30:A0,
C6:02:2F:0B:A7:B2, 2025-09-15 22:57:16, 2025-09-15 22:57:16, -67,        6, (not associated) ,
46:F4:55:72:E2:21, 2025-09-15 22:57:20, 2025-09-15 22:57:21, -75,        5, (not associated) ,
22:0C:13:0A:05:8D, 2025-09-15 22:57:20, 2025-09-15 22:57:20, -69,        1, (not associated) ,
62:2B:C1:85:38:C8, 2025-09-15 22:57:24, 2025-09-15 22:57:24,  -1,        2, CC:29:BD:A3:47:62,
28:AD:18:96:EA:A1, 2025-09-15 22:57:29, 2025-09-15 22:57:29, -67,        2, E8:81:75:AD:D1:FC,
60:23:A4:8E:FC:51, 2025-09-15 22:57:31, 2025-09-15 22:57:31, -68,        8, 44:13:D0:9F:A8:ED,
90:32:4B:45:42:D9, 2025-09-15 22:57:32, 2025-09-15 22:58:03, -77,        5, (not associated) ,
F2:D8:7C:40:5D:C2, 2025-09-15 22:57:38, 2025-09-15 22:57:38,  -1,        1, A4:F3:3B:0E:24:54,
9A:4B:D1:8D:8E:8E, 2025-09-15 22:58:09, 2025-09-15 22:58:09, -81,        1, 08:F6:06:89:DB:B2,

